image_id,image_path,label_path,year,width,height,resolution,n_objects,has_milco,has_nombo,image_category
0453_2018,data\raw\2018\2018\0453_2018.jpg,data\raw\2018\2018\0453_2018.txt,2018,416,416,416x416,1,False,True,nombo_only
0013_2010,data\raw\2010\2010\0013_2010.jpg,data\raw\2010\2010\0013_2010.txt,2010,1024,1024,1024x1024,0,False,False,empty
0276_2010,data\raw\2010\2010\0276_2010.jpg,data\raw\2010\2010\0276_2010.txt,2010,1024,1024,1024x1024,0,False,False,empty
0292_2010,data\raw\2010\2010\0292_2010.jpg,data\raw\2010\2010\0292_2010.txt,2010,1024,1024,1024x1024,0,False,False,empty
0423_2018,data\raw\2018\2018\0423_2018.jpg,data\raw\2018\2018\0423_2018.txt,2018,1024,1024,1024x1024,0,False,False,empty
0318_2010,data\raw\2010\2010\0318_2010.jpg,data\raw\2010\2010\0318_2010.txt,2010,416,416,416x416,1,False,True,nombo_only
0313_2018,data\raw\2018\2018\0313_2018.jpg,data\raw\2018\2018\0313_2018.txt,2018,416,416,416x416,0,False,False,empty
0042_2021,data\raw\2021\2021\0042_2021.jpg,data\raw\2021\2021\0042_2021.txt,2021,416,416,416x416,0,False,False,empty
0107_2018,data\raw\2018\2018\0107_2018.jpg,data\raw\2018\2018\0107_2018.txt,2018,1024,1024,1024x1024,1,True,False,milco_only
0268_2010,data\raw\2010\2010\0268_2010.jpg,data\raw\2010\2010\0268_2010.txt,2010,416,416,416x416,0,False,False,empty
0023_2021,data\raw\2021\2021\0023_2021.jpg,data\raw\2021\2021\0023_2021.txt,2021,416,416,416x416,1,True,False,milco_only
0330_2018,data\raw\2018\2018\0330_2018.jpg,data\raw\2018\2018\0330_2018.txt,2018,1024,1024,1024x1024,1,True,False,milco_only
0467_2018,data\raw\2018\2018\0467_2018.jpg,data\raw\2018\2018\0467_2018.txt,2018,416,416,416x416,0,False,False,empty
0303_2010,data\raw\2010\2010\0303_2010.jpg,data\raw\2010\2010\0303_2010.txt,2010,416,416,416x416,0,False,False,empty
0067_2010,data\raw\2010\2010\0067_2010.jpg,data\raw\2010\2010\0067_2010.txt,2010,1024,1024,1024x1024,0,False,False,empty
0158_2018,data\raw\2018\2018\0158_2018.jpg,data\raw\2018\2018\0158_2018.txt,2018,1024,1024,1024x1024,0,False,False,empty
0051_2018,data\raw\2018\2018\0051_2018.jpg,data\raw\2018\2018\0051_2018.txt,2018,1024,1024,1024x1024,0,False,False,empty
0179_2010,data\raw\2010\2010\0179_2010.jpg,data\raw\2010\2010\0179_2010.txt,2010,416,416,416x416,0,False,False,empty
0026_2010,data\raw\2010\2010\0026_2010.jpg,data\raw\2010\2010\0026_2010.txt,2010,1024,1024,1024x1024,0,False,False,empty
0010_2010,data\raw\2010\2010\0010_2010.jpg,data\raw\2010\2010\0010_2010.txt,2010,1024,1024,1024x1024,0,False,False,empty
0094_2015,data\raw\2015\2015\0094_2015.jpg,data\raw\2015\2015\0094_2015.txt,2015,416,416,416x416,1,True,False,milco_only
0397_2018,data\raw\2018\2018\0397_2018.jpg,data\raw\2018\2018\0397_2018.txt,2018,416,416,416x416,0,False,False,empty
0318_2018,data\raw\2018\2018\0318_2018.jpg,data\raw\2018\2018\0318_2018.txt,2018,1024,1024,1024x1024,0,False,False,empty
0205_2018,data\raw\2018\2018\0205_2018.jpg,data\raw\2018\2018\0205_2018.txt,2018,416,416,416x416,0,False,False,empty
0053_2017,data\raw\2017\2017\0053_2017.jpg,data\raw\2017\2017\0053_2017.txt,2017,1024,1024,1024x1024,0,False,False,empty
0329_2010,data\raw\2010\2010\0329_2010.jpg,data\raw\2010\2010\0329_2010.txt,2010,1024,1024,1024x1024,0,False,False,empty
0255_2018,data\raw\2018\2018\0255_2018.jpg,data\raw\2018\2018\0255_2018.txt,2018,416,416,416x416,0,False,False,empty
0114_2010,data\raw\2010\2010\0114_2010.jpg,data\raw\2010\2010\0114_2010.txt,2010,1024,1024,1024x1024,0,False,False,empty
0526_2018,data\raw\2018\2018\0526_2018.jpg,data\raw\2018\2018\0526_2018.txt,2018,416,416,416x416,0,False,False,empty
0087_2018,data\raw\2018\2018\0087_2018.jpg,data\raw\2018\2018\0087_2018.txt,2018,416,416,416x416,0,False,False,empty
0208_2018,data\raw\2018\2018\0208_2018.jpg,data\raw\2018\2018\0208_2018.txt,2018,1024,1024,1024x1024,0,False,False,empty
0038_2018,data\raw\2018\2018\0038_2018.jpg,data\raw\2018\2018\0038_2018.txt,2018,416,416,416x416,0,False,False,empty
