image_id,year,class_id,class_name,box_width_px,box_height_px
0061_2010,2010,1,NOMBO,14.5,14.0
0062_2010,2010,1,NOMBO,36.0,34.0
0063_2010,2010,0,MILCO,19.0,32.0
0207_2010,2010,0,MILCO,25.0,24.0
0208_2010,2010,0,MILCO,10.0,10.0
0256_2010,2010,0,MILCO,29.0,11.5
0256_2010,2010,0,MILCO,33.0,14.0
0257_2010,2010,0,MILCO,71.0,28.0
0257_2010,2010,0,MILCO,81.0,34.0
0284_2010,2010,0,MILCO,92.0,31.0
0299_2010,2010,0,MILCO,39.0,14.5
0300_2010,2010,0,MILCO,96.0,36.0
0302_2010,2010,0,MILCO,140.0,41.0
0305_2010,2010,0,MILCO,76.0,31.0
0307_2010,2010,0,MILCO,62.0,26.0
0313_2010,2010,1,NOMBO,23.0,10.5
0314_2010,2010,1,NOMBO,56.0,26.0
0315_2010,2010,1,NOMBO,56.0,26.0
0315_2010,2010,0,MILCO,55.0,29.0
0316_2010,2010,1,NOMBO,23.0,10.5
0316_2010,2010,0,MILCO,22.5,12.0
0317_2010,2010,1,NOMBO,152.0,26.0
0318_2010,2010,1,NOMBO,62.0,10.5
0322_2010,2010,0,MILCO,72.0,44.0
0324_2010,2010,0,MILCO,58.0,29.0
0324_2010,2010,1,NOMBO,103.0,38.0
0325_2010,2010,0,MILCO,23.5,12.0
0325_2010,2010,1,NOMBO,42.0,15.5
0327_2010,2010,1,NOMBO,151.0,44.0
0328_2010,2010,1,NOMBO,61.5,18.0
0338_2010,2010,0,MILCO,22.5,10.5
0339_2010,2010,0,MILCO,55.0,26.0
0342_2010,2010,0,MILCO,29.0,11.0
0343_2010,2010,0,MILCO,72.0,27.0
0001_2015,2015,0,MILCO,55.0,30.0
0001_2015,2015,1,NOMBO,39.0,56.0
0001_2015,2015,0,MILCO,22.0,20.0
0001_2015,2015,0,MILCO,31.0,20.0
0001_2015,2015,1,NOMBO,25.0,18.0
0001_2015,2015,1,NOMBO,49.0,28.0
0002_2015,2015,1,NOMBO,20.0,11.5
0002_2015,2015,1,NOMBO,24.5,14.999999999999998
0002_2015,2015,0,MILCO,25.0,8.5
0002_2015,2015,0,MILCO,7.499999999999999,4.0
0002_2015,2015,0,MILCO,7.0,13.0
0003_2015,2015,1,NOMBO,49.0,28.0
0003_2015,2015,1,NOMBO,60.0,37.0
0003_2015,2015,0,MILCO,62.0,21.0
0003_2015,2015,0,MILCO,18.0,10.0
0003_2015,2015,0,MILCO,17.0,32.0
0004_2015,2015,0,MILCO,54.0,28.0
0004_2015,2015,0,MILCO,51.0,23.0
0004_2015,2015,0,MILCO,60.0,37.0
0004_2015,2015,1,NOMBO,49.0,70.0
0004_2015,2015,0,MILCO,22.0,20.0
0005_2015,2015,0,MILCO,22.0,11.5
