split,variable,value,count
train,total,all,819
train,image_category,empty,606
train,image_category,milco_only,127
train,image_category,mixed,52
train,image_category,nombo_only,34
train,year,2018,386
train,year,2010,247
train,year,2015,82
train,year,2017,66
train,year,2021,38
train,resolution,416x416,418
train,resolution,1024x1024,401
val,total,all,175
val,image_category,empty,130
val,image_category,milco_only,27
val,image_category,mixed,11
val,image_category,nombo_only,7
val,year,2018,90
val,year,2010,46
val,year,2015,20
val,year,2017,13
val,year,2021,6
val,resolution,416x416,91
val,resolution,1024x1024,84
test,total,all,176
test,image_category,empty,130
test,image_category,milco_only,27
test,image_category,mixed,11
test,image_category,nombo_only,8
test,year,2018,88
test,year,2010,52
test,year,2015,18
test,year,2017,14
test,year,2021,4
test,resolution,1024x1024,101
test,resolution,416x416,75
