epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.784,2.44928,18.8768,0.00595,0.00073,0.0436,0.00016,4e-05,1.59398,3.40082,0.00481,0.00163462,0.00163462,0.0689423
2,51.9896,2.13915,7.3421,0.00534,0.75674,0.02469,0.07209,0.03119,1.65256,2.55832,0.00502,0.00329475,0.00329475,0.0372691
3,70.6235,2.22525,5.63587,0.00571,0.16138,0.10243,0.08112,0.02851,1.75715,2.19675,0.00516,0.00494828,0.00494828,0.0055893
4,89.7683,2.10665,4.90131,0.00499,0.1163,0.22377,0.08043,0.03291,1.79913,2.28972,0.00565,0.0049703,0.0049703,0.0049703
5,108.703,2.29341,5.12731,0.00546,0.09262,0.09877,0.07247,0.03286,1.81944,2.46253,0.00557,0.0049604,0.0049604,0.0049604
6,126.761,2.18369,4.55027,0.00519,0.14216,0.14209,0.09318,0.03029,1.7712,2.33516,0.00535,0.0049505,0.0049505,0.0049505
7,145.303,2.08416,4.72819,0.00499,0.15075,0.13002,0.10621,0.04019,1.71071,2.35353,0.00522,0.0049406,0.0049406,0.0049406
8,164.111,2.17229,4.50786,0.00514,0.18409,0.21971,0.13236,0.04972,1.8057,2.26835,0.00531,0.0049307,0.0049307,0.0049307
9,184.024,2.08617,3.85888,0.00489,0.1848,0.21142,0.13269,0.05464,1.59673,2.45526,0.00497,0.0049208,0.0049208,0.0049208
10,202.554,2.15048,3.63351,0.00507,0.21161,0.21026,0.15596,0.05401,1.7157,2.12324,0.00534,0.0049109,0.0049109,0.0049109
11,220.345,2.06087,3.60863,0.00495,0.20281,0.19502,0.13403,0.05531,1.69674,1.98926,0.0053,0.004901,0.004901,0.004901
12,238.612,2.21319,3.41333,0.00551,0.16606,0.19541,0.11063,0.04168,1.8026,2.07158,0.00552,0.0048911,0.0048911,0.0048911
13,256.437,2.06125,3.1929,0.00497,0.27175,0.22704,0.1784,0.07083,1.74922,2.16263,0.00549,0.0048812,0.0048812,0.0048812
14,275.971,2.17719,3.24655,0.00508,0.29459,0.19792,0.19584,0.07934,1.69626,1.90661,0.0051,0.0048713,0.0048713,0.0048713
15,295.006,2.08856,3.00872,0.00507,0.17039,0.24769,0.18068,0.07002,1.66011,2.20092,0.00499,0.0048614,0.0048614,0.0048614
16,312.569,2.11993,3.04195,0.00527,0.35061,0.21354,0.19245,0.07636,1.66331,2.10499,0.0051,0.0048515,0.0048515,0.0048515
17,330.515,2.04816,2.88874,0.00471,0.20604,0.25096,0.17477,0.07688,1.6206,2.47364,0.00477,0.0048416,0.0048416,0.0048416
18,348.307,2.11083,2.74531,0.00501,0.31195,0.28511,0.26785,0.11942,1.67832,1.97544,0.0051,0.0048317,0.0048317,0.0048317
19,367.076,1.99145,2.69222,0.00476,0.40026,0.26331,0.26127,0.1301,1.41815,1.79693,0.00462,0.0048218,0.0048218,0.0048218
20,386.632,2.09383,2.60669,0.00502,0.38535,0.32463,0.29001,0.13715,1.46608,1.77055,0.00419,0.0048119,0.0048119,0.0048119
21,404.777,2.09691,2.49338,0.00482,0.35029,0.29784,0.25262,0.10284,1.56301,1.958,0.00451,0.004802,0.004802,0.004802
22,422.637,2.01923,2.57881,0.00479,0.34969,0.23245,0.24506,0.08971,1.59708,1.98186,0.00458,0.0047921,0.0047921,0.0047921
23,440.521,1.97746,2.50071,0.00451,0.37325,0.30631,0.24365,0.10163,1.66963,1.63337,0.00513,0.0047822,0.0047822,0.0047822
24,458.692,2.01825,2.41131,0.00491,0.34101,0.3505,0.26557,0.11823,1.54854,1.77072,0.00461,0.0047723,0.0047723,0.0047723
25,477.871,2.02366,2.30379,0.00471,0.38784,0.32909,0.28039,0.11391,1.59377,2.05908,0.00535,0.0047624,0.0047624,0.0047624
26,496.355,2.06847,2.37786,0.00482,0.37733,0.36019,0.31738,0.13052,1.66456,1.82191,0.00484,0.0047525,0.0047525,0.0047525
27,514.44,1.94796,2.23625,0.00439,0.44586,0.28642,0.28587,0.13338,1.62827,1.72378,0.00483,0.0047426,0.0047426,0.0047426
28,532.609,1.97898,2.36862,0.00479,0.33121,0.27566,0.27647,0.10534,1.68699,1.61968,0.00523,0.0047327,0.0047327,0.0047327
29,550.514,2.00393,2.28501,0.00462,0.36995,0.32141,0.30913,0.12731,1.54145,1.81887,0.00446,0.0047228,0.0047228,0.0047228
30,570.248,1.97151,2.25594,0.00467,0.56651,0.34722,0.35845,0.14259,1.62584,1.70945,0.00466,0.0047129,0.0047129,0.0047129
31,588.657,1.97745,2.2126,0.00437,0.61075,0.26042,0.33737,0.14451,1.74608,1.57573,0.00499,0.004703,0.004703,0.004703
32,607.313,2.02338,2.16848,0.00447,0.4934,0.35378,0.32985,0.14479,1.73068,1.92751,0.005,0.0046931,0.0046931,0.0046931
33,625.909,2.06048,2.13509,0.00484,0.47743,0.34067,0.34063,0.15519,1.65594,1.76503,0.00504,0.0046832,0.0046832,0.0046832
34,645.204,1.94822,1.99124,0.00442,0.52904,0.26003,0.32166,0.14583,1.6815,1.86546,0.00505,0.0046733,0.0046733,0.0046733
35,664.374,1.88613,1.95616,0.00433,0.47127,0.3316,0.33032,0.15,1.61347,1.97096,0.00464,0.0046634,0.0046634,0.0046634
36,682.531,1.90521,2.02315,0.00438,0.40711,0.40355,0.33992,0.15823,1.68216,1.51911,0.005,0.0046535,0.0046535,0.0046535
37,701.144,1.96715,2.03217,0.00472,0.49741,0.3505,0.38322,0.17229,1.75066,1.61896,0.00518,0.0046436,0.0046436,0.0046436
38,719.557,1.9414,1.94746,0.0044,0.57494,0.413,0.44202,0.18416,1.70775,1.46684,0.00482,0.0046337,0.0046337,0.0046337
39,739.448,1.84331,1.8282,0.0042,0.58035,0.41251,0.42472,0.18364,1.63155,1.5373,0.00456,0.0046238,0.0046238,0.0046238
40,758.085,1.9022,1.91102,0.00431,0.51608,0.38503,0.38407,0.16114,1.65672,1.69158,0.0049,0.0046139,0.0046139,0.0046139
41,776.182,1.88596,1.95149,0.0046,0.57742,0.34433,0.39039,0.17288,1.61988,1.50925,0.00468,0.004604,0.004604,0.004604
42,794.197,1.88716,1.9504,0.00432,0.44763,0.32661,0.35787,0.15676,1.56127,1.63549,0.0044,0.0045941,0.0045941,0.0045941
