fold,imgsz,epochs,seed,plots,cache,augmentation_mode,lr0,batch,patience,optimizer,status,best_epoch,map50_95,map50,precision,recall
0,640,150,15,False,True,sss_paper_aug,0.001,16,40,SGD,ok,92,0.24763,0.47174,0.51032,0.45964
0,640,150,15,False,True,sss_paper_aug,0.005,16,40,SGD,ok,142,0.32109,0.58766,0.74192,0.52419
0,640,150,15,False,True,sss_paper_aug,0.01,16,40,SGD,ok,142,0.32405,0.61556,0.71108,0.6371
0,640,150,15,False,True,yolo26n_default,0.001,16,40,SGD,ok,132,0.22178,0.44336,0.42899,0.4845
0,640,150,15,False,True,yolo26n_default,0.005,16,40,SGD,ok,145,0.30708,0.6417,0.66197,0.60484
0,640,150,15,False,True,yolo26n_default,0.01,16,40,SGD,ok,136,0.29726,0.56029,0.60726,0.58065
0,640,150,15,False,True,yolo26n_default_stronger_sss,0.001,16,40,SGD,ok,131,0.22591,0.46645,0.65902,0.37098
0,640,150,15,False,True,yolo26n_default_stronger_sss,0.005,16,40,SGD,ok,142,0.29742,0.60544,0.70621,0.51613
0,640,150,15,False,True,yolo26n_default_stronger_sss,0.01,16,40,SGD,ok,129,0.27317,0.5764,0.69552,0.47914
1,640,150,15,False,True,sss_paper_aug,0.001,16,40,SGD,ok,141,0.20642,0.44545,0.62368,0.43281
1,640,150,15,False,True,sss_paper_aug,0.005,16,40,SGD,ok,146,0.28435,0.56326,0.75562,0.49753
1,640,150,15,False,True,sss_paper_aug,0.01,16,40,SGD,ok,149,0.26378,0.52306,0.70857,0.53816
1,640,150,15,False,True,yolo26n_default,0.001,16,40,SGD,ok,127,0.18069,0.38801,0.54191,0.3762
1,640,150,15,False,True,yolo26n_default,0.005,16,40,SGD,ok,149,0.26194,0.53338,0.77914,0.48684
1,640,150,15,False,True,yolo26n_default,0.01,16,40,SGD,ok,119,0.23602,0.49646,0.7106,0.45721
1,640,150,15,False,True,yolo26n_default_stronger_sss,0.001,16,40,SGD,ok,139,0.17896,0.43804,0.5881,0.41535
1,640,150,15,False,True,yolo26n_default_stronger_sss,0.005,16,40,SGD,ok,120,0.23196,0.50718,0.56315,0.50252
1,640,150,15,False,True,yolo26n_default_stronger_sss,0.01,16,40,SGD,ok,147,0.25052,0.53826,0.67966,0.51981
2,640,150,15,False,True,sss_paper_aug,0.001,16,40,SGD,ok,115,0.24881,0.42424,0.5602,0.43988
2,640,150,15,False,True,sss_paper_aug,0.005,16,40,SGD,ok,134,0.34396,0.55873,0.74272,0.49269
2,640,150,15,False,True,sss_paper_aug,0.01,16,40,SGD,ok,132,0.3632,0.64127,0.91522,0.51056
2,640,150,15,False,True,yolo26n_default,0.001,16,40,SGD,ok,134,0.26404,0.44731,0.54235,0.3824
2,640,150,15,False,True,yolo26n_default,0.005,16,40,SGD,ok,134,0.36061,0.62512,0.63768,0.59531
2,640,150,15,False,True,yolo26n_default,0.01,16,40,SGD,ok,143,0.33474,0.58381,0.73594,0.54059
2,640,150,15,False,True,yolo26n_default_stronger_sss,0.001,16,40,SGD,ok,76,0.21414,0.39135,0.60073,0.30469
2,640,150,15,False,True,yolo26n_default_stronger_sss,0.005,16,40,SGD,ok,132,0.30259,0.56777,0.6976,0.48709
2,640,150,15,False,True,yolo26n_default_stronger_sss,0.01,16,40,SGD,ok,139,0.33969,0.565,0.69512,0.50115
3,640,150,15,False,True,sss_paper_aug,0.001,16,40,SGD,ok,134,0.19259,0.4339,0.55824,0.43438
3,640,150,15,False,True,sss_paper_aug,0.005,16,40,SGD,ok,121,0.28784,0.53732,0.5874,0.58073
3,640,150,15,False,True,sss_paper_aug,0.01,16,40,SGD,ok,148,0.32083,0.6203,0.73273,0.59653
3,640,150,15,False,True,yolo26n_default,0.001,16,40,SGD,ok,103,0.16421,0.42122,0.59125,0.39365
3,640,150,15,False,True,yolo26n_default,0.005,16,40,SGD,ok,147,0.2615,0.52168,0.7224,0.43797
3,640,150,15,False,True,yolo26n_default,0.01,16,40,SGD,ok,126,0.2546,0.54441,0.65247,0.53718
3,640,150,15,False,True,yolo26n_default_stronger_sss,0.001,16,40,SGD,ok,144,0.20817,0.44211,0.52745,0.40291
3,640,150,15,False,True,yolo26n_default_stronger_sss,0.005,16,40,SGD,ok,135,0.25736,0.54772,0.72174,0.46349
3,640,150,15,False,True,yolo26n_default_stronger_sss,0.01,16,40,SGD,ok,140,0.23805,0.47993,0.68067,0.41257
4,640,150,15,False,True,sss_paper_aug,0.001,16,40,SGD,ok,148,0.29888,0.59507,0.70227,0.50893
4,640,150,15,False,True,sss_paper_aug,0.005,16,40,SGD,ok,120,0.33989,0.66615,0.73616,0.65625
4,640,150,15,False,True,sss_paper_aug,0.01,16,40,SGD,ok,29,0.18222,0.41242,0.49599,0.47545
4,640,150,15,False,True,yolo26n_default,0.001,16,40,SGD,ok,149,0.28364,0.57631,0.64788,0.47817
4,640,150,15,False,True,yolo26n_default,0.005,16,40,SGD,ok,115,0.35781,0.66556,0.80514,0.54018
4,640,150,15,False,True,yolo26n_default,0.01,16,40,SGD,ok,148,0.34556,0.62754,0.69943,0.56473
4,640,150,15,False,True,yolo26n_default_stronger_sss,0.001,16,40,SGD,ok,129,0.26789,0.54193,0.65462,0.5625
4,640,150,15,False,True,yolo26n_default_stronger_sss,0.005,16,40,SGD,ok,145,0.33521,0.60818,0.64881,0.61384
4,640,150,15,False,True,yolo26n_default_stronger_sss,0.01,16,40,SGD,ok,149,0.31743,0.63051,0.6222,0.60644
